PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3246587,21128811,3,2021-07-18T05:00:00,"900 Block Brushton AV Pittsburgh, PA 15221",N,Homewood North,5,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3701 Robbery.,1301,9,2,-79.88807486,40.45555791
3247388,21135299,3,2021-07-27T16:36:00,"1000 Block Washington BL Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/GUN,901 Criminal Attempt / 2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,1203,9,2,-79.90560241,40.4626456
3250310,21139670,3,2021-08-03T02:18:00,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1302,9,2,-79.89630115,40.45740466
3250863,21142958,3,2021-08-07T20:45:00,"3200 Block Universal ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2022,2,5,-80.06190348,40.45519633
3251376,21086027,3,2021-05-18T05:30:00,"700 Block Lorenz AV Pittsburgh, PA 15220",Y,Elliott,6,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 6106 Firearms not to be Carried without a License. / 6110.2 Possesion of Firearm with Altered Mfg. Number / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2020,2,5,-80.03924987,40.44511801
3253364,21150947,3,2021-08-19T20:47:00,"2000 Block Fairlawn ST Pittsburgh, PA 15221",N,East Hills,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1306,9,2,-79.87008249,40.45035753
3262933,21176137,3,2021-09-25T14:19:00,"Kathleen ST & Cushman WY Pittsburgh, PA 15211",N,Mount Washington,3,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 8106 Shots Fired,1807,3,5,-80.00442639,40.42552321
3263887,21180599,3,2021-10-02T14:35:00,"800 Block Loyal WY Pittsburgh, PA 15210",Y,Allentown,3,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 3701 Robbery. / 3925 Receiving Stolen Property.,1803,3,5,-79.99365721,40.41956043
3267384,21189692,3,2021-10-16T01:53:00,"Milroy ST & Bothwell AV Pittsburgh, PA 15214",N,Perry North,1,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,2607,1,1,-80.01062792,40.4763541
3267428,21189823,3,2021-10-16T09:25:00,"100 Block White Pine PL Pittsburgh, PA 15221",Y,East Hills,5,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,1306,9,2,-79.87373372,40.45461016
3267845,21187201,3,2021-10-12T12:45:00,"Johnston AV & Rivermont DR Pittsburgh, PA 15207",N,Glen Hazel,4,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,1504,5,3,-79.92749066,40.40675787
3268255,21192639,3,2021-10-20T23:48:00,"300 Block Mt Pleasant RD Pittsburgh, PA 15214",N,Northview Heights,1,ROBBERY/CARJACK/STRONGARM,"2709(a) Harassment. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition. / 3928 Unauthorized Use of Automobile and Other Vehicles. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2609,,,0,0
3269434,21193779,3,2021-10-22T19:54:00,"3200 Block Brighton RD Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2715,1,1,-80.03110812,40.47578918
3276340,21212023,3,2021-11-23T02:16:00,"100 Block Ruth ST Pittsburgh, PA 15211",N,Mount Washington,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1915,2,5,-80.0052319,40.42379089
3276935,21217154,3,2021-12-03T01:35:00,"100 Block Hazlett ST Pittsburgh, PA 15214",Y,Northview Heights,1,ROBBERY/CARJACK/GUN,901 Criminal Attempt / 903 Criminal Conspiracy. / 3701 Robbery.,2609,1,1,-80.00164753,40.47712209
3278724,21216523,3,2021-12-01T21:56:00,"1000 Block Brushton AV Pittsburgh, PA 15221",N,Homewood North,5,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1301,9,2,-79.88772958,40.4565467
3279561,21222788,3,2021-12-13T05:50:00,"100 Block Richey AV Pittsburgh, PA 15214",N,Perry North,1,ROBBERY/CARJACK/GUN,"2702 Aggravated Assault. / 2706 Terroristic Threats. / 2901 Kidnapping. / 3502 Burglary. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2607,1,1,-80.01512449,40.48685449
3283622,22000944,3,2022-01-03T00:57:00,"5th AV & Gist ST Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY/CARJACK/GUN,"2706 Terroristic Threats. / 3702 Robbery of Motor Vehicle. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",103,6,3,-79.97944693,40.43831014
3284749,22004461,3,2022-01-09T15:28:00,"600 Block N Homewood AV Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,1303,9,2,-79.89750165,40.45465668
